match_id,seleccion,fecha,competicion,equipo_local,equipo_visitante,goles_local,goles_visitante,error,local__1st_half__accurate_through_passes,local__1st_half__ball_possession,local__1st_half__big_chances,local__1st_half__blocked_shots,local__1st_half__clearances,local__1st_half__corner_kicks,local__1st_half__crosses,local__1st_half__duels_won,local__1st_half__errors_leading_to_goal,local__1st_half__errors_leading_to_shot,local__1st_half__expected_assists_xa,local__1st_half__expected_goals_xg,local__1st_half__fouls,local__1st_half__free_kicks,local__1st_half__goalkeeper_saves,local__1st_half__goals_prevented,local__1st_half__headed_goals,local__1st_half__hit_the_woodwork,local__1st_half__interceptions,local__1st_half__long_passes,local__1st_half__offsides,local__1st_half__passes,local__1st_half__passes_in_final_third,local__1st_half__red_cards,local__1st_half__shots_inside_the_box,local__1st_half__shots_off_target,local__1st_half__shots_on_target,local__1st_half__shots_outside_the_box,local__1st_half__tackles,local__1st_half__throw_ins,local__1st_half__total_shots,local__1st_half__touches_in_opposition_box,local__1st_half__xg_on_target_xgot,local__1st_half__xgot_faced,local__1st_half__yellow_cards,local__2nd_half__accurate_through_passes,local__2nd_half__ball_possession,local__2nd_half__big_chances,local__2nd_half__blocked_shots,local__2nd_half__clearances,local__2nd_half__corner_kicks,local__2nd_half__crosses,local__2nd_half__duels_won,local__2nd_half__errors_leading_to_goal,local__2nd_half__errors_leading_to_shot,local__2nd_half__expected_assists_xa,local__2nd_half__expected_goals_xg,local__2nd_half__fouls,local__2nd_half__free_kicks,local__2nd_half__goalkeeper_saves,local__2nd_half__goals_prevented,local__2nd_half__headed_goals,local__2nd_half__hit_the_woodwork,local__2nd_half__interceptions,local__2nd_half__long_passes,local__2nd_half__offsides,local__2nd_half__passes,local__2nd_half__passes_in_final_third,local__2nd_half__red_cards,local__2nd_half__shots_inside_the_box,local__2nd_half__shots_off_target,local__2nd_half__shots_on_target,local__2nd_half__shots_outside_the_box,local__2nd_half__tackles,local__2nd_half__throw_ins,local__2nd_half__total_shots,local__2nd_half__touches_in_opposition_box,local__2nd_half__xg_on_target_xgot,local__2nd_half__xgot_faced,local__2nd_half__yellow_cards,visitante__1st_half__accurate_through_passes,visitante__1st_half__ball_possession,visitante__1st_half__big_chances,visitante__1st_half__blocked_shots,visitante__1st_half__clearances,visitante__1st_half__corner_kicks,visitante__1st_half__crosses,visitante__1st_half__duels_won,visitante__1st_half__errors_leading_to_goal,visitante__1st_half__errors_leading_to_shot,visitante__1st_half__expected_assists_xa,visitante__1st_half__expected_goals_xg,visitante__1st_half__fouls,visitante__1st_half__free_kicks,visitante__1st_half__goalkeeper_saves,visitante__1st_half__goals_prevented,visitante__1st_half__headed_goals,visitante__1st_half__hit_the_woodwork,visitante__1st_half__interceptions,visitante__1st_half__long_passes,visitante__1st_half__offsides,visitante__1st_half__passes,visitante__1st_half__passes_in_final_third,visitante__1st_half__red_cards,visitante__1st_half__shots_inside_the_box,visitante__1st_half__shots_off_target,visitante__1st_half__shots_on_target,visitante__1st_half__shots_outside_the_box,visitante__1st_half__tackles,visitante__1st_half__throw_ins,visitante__1st_half__total_shots,visitante__1st_half__touches_in_opposition_box,visitante__1st_half__xg_on_target_xgot,visitante__1st_half__xgot_faced,visitante__1st_half__yellow_cards,visitante__2nd_half__accurate_through_passes,visitante__2nd_half__ball_possession,visitante__2nd_half__big_chances,visitante__2nd_half__blocked_shots,visitante__2nd_half__clearances,visitante__2nd_half__corner_kicks,visitante__2nd_half__crosses,visitante__2nd_half__duels_won,visitante__2nd_half__errors_leading_to_goal,visitante__2nd_half__errors_leading_to_shot,visitante__2nd_half__expected_assists_xa,visitante__2nd_half__expected_goals_xg,visitante__2nd_half__fouls,visitante__2nd_half__free_kicks,visitante__2nd_half__goalkeeper_saves,visitante__2nd_half__goals_prevented,visitante__2nd_half__headed_goals,visitante__2nd_half__hit_the_woodwork,visitante__2nd_half__interceptions,visitante__2nd_half__long_passes,visitante__2nd_half__offsides,visitante__2nd_half__passes,visitante__2nd_half__passes_in_final_third,visitante__2nd_half__red_cards,visitante__2nd_half__shots_inside_the_box,visitante__2nd_half__shots_off_target,visitante__2nd_half__shots_on_target,visitante__2nd_half__shots_outside_the_box,visitante__2nd_half__tackles,visitante__2nd_half__throw_ins,visitante__2nd_half__total_shots,visitante__2nd_half__touches_in_opposition_box,visitante__2nd_half__xg_on_target_xgot,visitante__2nd_half__xgot_faced,visitante__2nd_half__yellow_cards
hI4787v8,argentina,10.06.2026 01:00,Football / World / Friendly International,Argentina,Iceland,3,0,,0,62%,1,2,3,1,33%(1/3),18,0,0,0.57,0.69,7,10,1,0.11,,0,6,57%(8/14),1,92%(334/362),81%(30/37),,6,2,4,2,67%(2/3),5,8,16,1.00,0.11,1,1,65%,5,2,4,1,0%(0/2),25,0,0,1.44,2.16,6,11,0,0.00,,2,3,67%(16/24),2,90%(285/317),86%(50/58),,5,2,3,2,50%(2/4),9,7,17,2.00,0.00,1,0,38%,1,0,5,0,67%(2/3),17,0,1,0.63,1.02,10,7,3,0.00,,0,2,47%(7/15),0,87%(195/224),58%(15/26),,2,2,1,1,60%(3/5),3,3,4,0.11,1.00,2,0,35%,1,0,5,2,33%(1/3),17,0,0,0.36,0.65,11,6,1,0.00,,0,4,60%(15/25),0,83%(142/171),55%(18/33),,3,3,0,0,0%(0/1),6,3,4,0.00,2.00,4
QgmZkEjC,argentina,07.06.2026 00:00,Football / World / Friendly International,Argentina,Honduras,2,0,,1,71%,2,2,5,4,43%(3/7),18,0,0,1.01,1.51,9,6,0,0.00,,1,2,67%(10/15),0,93%(341/366),85%(88/104),,7,4,5,4,83%(5/6),12,11,21,1.63,0.00,1,0,72%,1,3,1,2,43%(3/7),17,0,0,1.44,1.01,7,6,0,0.00,,0,2,62%(8/13),1,96%(405/423),91%(140/154),,7,3,3,2,67%(4/6),7,9,21,1.49,0.00,3,0,29%,0,1,3,0,25%(1/4),29,0,1,0.05,0.16,6,9,4,0.63,,0,7,37%(7/19),2,80%(114/142),40%(6/15),,0,1,0,2,50%(7/14),4,2,3,0.00,1.63,0,0,28%,0,1,8,1,25%(1/4),21,0,0,0.11,0.08,6,7,2,0.49,,0,7,45%(9/20),0,84%(133/159),53%(8/15),,1,1,0,1,71%(5/7),5,2,3,0.00,1.49,1
ET8reDfR,argentina,31.03.2026 23:30,Football / World / Friendly International,Argentina,Zambia,5,0,,0,79%,1,0,7,2,17%(1/6),17,0,0,0.66,0.23,2,3,0,0.00,,0,3,83%(19/23),3,94%(487/517),85%(104/123),,2,1,2,1,67%(6/9),6,3,22,0.98,0.00,,0,73%,2,2,5,4,0%(0/2),17,0,0,1.19,1.40,4,6,1,0.08,,0,2,68%(15/22),0,93%(339/365),89%(88/99),,5,1,3,1,57%(4/7),7,6,19,1.58,0.08,0,0,21%,0,1,9,3,0%(0/5),15,0,0,0.03,0.05,3,2,0,-1.02,,0,11,53%(8/15),0,82%(110/134),65%(15/23),,0,1,0,2,50%(2/4),1,2,1,0.00,0.98,,0,27%,0,0,9,1,0%(0/6),14,0,0,0.08,0.15,6,4,1,-0.42,,0,6,60%(9/15),2,86%(107/125),67%(14/21),,1,0,1,0,50%(3/6),9,1,4,0.08,1.58,1
xxwZiuZQ,argentina,27.03.2026 23:15,Football / World / Friendly International,Argentina,Mauritania,2,1,,0,70%,1,2,3,2,20%(2/10),21,0,0,0.84,0.65,8,4,1,0.78,,0,2,82%(14/17),0,94%(375/398),87%(113/130),,3,0,4,3,70%(7/10),6,6,20,1.01,0.78,0,0,58%,0,1,3,2,33%(1/3),22,0,0,0.39,0.02,10,8,2,-0.44,,0,5,60%(6/10),2,90%(275/307),76%(66/87),,0,0,0,1,67%(6/9),7,1,8,0.00,0.56,1,0,30%,0,0,10,0,0%(0/1),21,0,0,0.09,0.11,4,8,2,-0.99,,0,6,12%(2/17),0,85%(145/170),71%(24/34),,1,2,1,2,56%(5/9),4,3,6,0.78,1.01,1,0,42%,1,1,6,2,25%(1/4),18,0,0,0.06,0.93,8,10,0,0.00,,0,7,56%(9/16),1,89%(193/216),66%(21/32),,7,4,3,1,83%(5/6),1,8,10,0.56,0.00,0
pYu6eE0b,argentina,14.11.2025 16:00,Football / World / Friendly International,Angola,Argentina,0,2,,0,37%,0,1,4,3,17%(1/6),18,0,0,0.18,0.10,6,9,1,-0.35,,0,2,56%(10/18),2,83%(109/131),64%(16/25),,2,1,1,1,80%(4/5),8,3,9,0.01,0.65,1,0,32%,1,1,9,2,27%(3/11),16,0,0,0.20,0.39,6,7,0,-0.19,,0,7,86%(12/14),0,84%(102/122),78%(28/36),,3,2,1,1,43%(3/7),5,4,5,0.09,0.81,0,0,63%,1,1,8,3,0%(0/2),16,0,0,0.52,0.80,9,6,1,0.01,,0,6,67%(10/15),2,90%(207/230),76%(44/58),,3,1,2,1,80%(4/5),3,4,9,0.65,0.01,0,0,68%,1,1,7,3,0%(0/4),19,0,0,0.42,0.70,7,6,1,0.09,,0,8,63%(15/24),2,90%(254/282),72%(33/46),,3,2,1,1,33%(3/9),7,4,8,0.81,0.09,1
WKIcGGZo,argentina,15.10.2025 00:00,Football / World / Friendly International,Puerto Rico,Argentina,0,6,,0,28%,0,0,15,1,0%(0/1),11,0,0,0.03,0.19,3,4,2,-1.14,0,0,9,48%(14/29),1,81%(118/146),50%(13/26),,1,1,3,3,50%(2/4),6,4,1,0.42,1.86,,0,35%,0,1,8,0,,19,0,0,0.01,0.02,1,8,4,0.26,,0,3,58%(14/24),2,83%(155/186),31%(4/13),,0,0,0,1,86%(6/7),3,1,1,0.00,2.26,,1,72%,2,4,1,1,33%(2/6),16,0,1,2.17,1.41,4,3,3,0.42,1,1,3,86%(6/7),1,92%(351/382),87%(173/200),,8,5,5,6,75%(6/8),3,14,30,1.86,0.42,,3,65%,2,2,3,0,,16,0,0,1.63,1.45,8,1,0,0.00,,0,4,50%(6/12),2,91%(320/350),85%(143/169),,8,3,6,3,83%(5/6),9,11,20,2.26,0.00,
2ykiB3yo,argentina,11.10.2025 00:00,Football / World / Friendly International,Argentina,Venezuela,1,0,,0,68%,2,0,3,3,,16,0,0,0.87,1.00,5,3,0,0.00,,1,5,74%(14/19),2,93%(376/404),78%(66/85),,5,2,5,2,71%(5/7),11,7,13,0.85,0.00,,1,69%,7,4,2,5,50%(4/8),27,0,0,2.71,1.85,5,9,1,0.14,,0,3,84%(21/25),2,91%(292/321),81%(87/108),,7,2,6,5,46%(6/13),4,12,24,2.61,0.14,0,0,32%,1,0,8,0,,21,0,0,0.30,0.23,3,5,4,-0.15,,0,8,45%(9/20),1,80%(153/192),62%(8/13),,1,2,0,1,43%(3/7),7,2,3,0.00,0.85,,0,31%,0,1,13,1,33%(1/3),19,0,0,0.05,0.16,9,5,6,2.61,,1,5,60%(12/20),0,87%(123/142),73%(16/22),,2,1,1,1,67%(4/6),4,3,6,0.14,2.61,3
G8AUQJEc,argentina,09.09.2025 23:00,Football / South America / World Championship - Qualification - Round 18,Ecuador,Argentina,1,0,,2,61%,3,3,9,2,40%(2/5),17,0,0,0.71,1.50,8,5,0,0.00,,0,2,44%(7/16),2,89%(209/235),67%(33/49),0,5,2,3,3,33%(2/6),12,8,9,1.37,0.00,3,0,31%,1,0,15,0,,21,0,0,0.05,0.19,5,5,0,0.00,,0,8,42%(11/26),0,82%(150/183),68%(25/37),1,2,2,1,1,55%(6/11),5,3,2,0.22,0.00,1,0,39%,0,1,12,3,14%(1/7),23,0,0,0.11,0.08,5,8,2,0.37,,0,3,50%(11/22),1,85%(126/148),58%(14/24),1,1,2,0,2,44%(4/9),2,3,2,0.00,1.37,1,0,69%,0,3,4,5,,21,0,1,0.52,0.33,5,5,1,0.22,,0,3,70%(14/20),0,91%(362/398),84%(117/139),0,2,2,0,3,50%(3/6),8,5,11,0.00,0.22,2
YoC1Np85,argentina,04.09.2025 23:30,Football / South America / World Championship - Qualification - Round 17,Argentina,Venezuela,3,0,,1,78%,2,1,6,2,,16,0,0,0.60,0.52,5,5,0,0.00,,0,5,77%(24/31),2,93%(395/427),79%(67/85),,5,2,5,3,33%(1/3),10,8,15,1.00,0.00,0,2,74%,5,2,9,2,0%(0/2),17,0,0,1.19,1.45,4,8,0,0.00,1,0,3,97%(34/35),2,95%(386/408),88%(90/102),,5,3,4,4,50%(1/2),4,9,17,1.86,0.00,1,0,22%,0,1,15,0,,15,1,0,0.12,0.10,5,5,4,0.00,,0,7,32%(6/19),0,70%(80/115),54%(14/26),,0,1,0,2,67%(6/9),5,2,5,0.00,1.00,1,0,26%,0,1,7,0,0%(0/1),13,0,0,0.19,0.22,8,4,2,-0.14,0,0,7,35%(8/23),0,77%(110/143),62%(23/37),,0,2,0,3,67%(4/6),3,3,5,0.00,1.86,1
4QYIV80P,argentina,11.06.2025 00:00,Football / South America / World Championship - Qualification - Round 16,Argentina,Colombia,1,1,,1,67%,0,1,3,3,20%(2/10),24,0,0,1.08,0.27,4,5,1,-0.60,,0,5,80%(8/10),2,92%(331/359),83%(57/69),,2,2,1,2,70%(7/10),8,4,12,0.02,0.40,1,1,60%,2,0,5,1,0%(0/6),29,0,0,0.91,0.81,12,7,3,0.72,,1,8,50%(5/10),2,90%(222/247),79%(68/86),1,5,4,2,1,80%(8/10),11,6,16,0.25,0.72,1,0,33%,3,3,14,2,75%(3/4),20,0,0,0.76,0.87,5,4,1,0.02,,0,4,50%(9/18),0,85%(154/182),66%(29/44),,6,1,2,0,71%(5/7),6,6,8,0.40,0.02,1,0,40%,2,1,16,4,17%(1/6),21,0,0,0.25,0.42,7,12,1,-0.75,,1,2,41%(9/22),1,84%(137/163),77%(23/30),0,3,1,3,2,75%(3/4),8,5,6,0.72,0.25,3
8vkGBm9g,argentina,06.06.2025 01:00,Football / South America / World Championship - Qualification - Round 15,Chile,Argentina,0,1,,0,23%,0,0,3,0,100%(1/1),16,0,0,0.20,0.15,5,2,1,0.04,,0,7,33%(6/18),0,75%(105/140),53%(10/19),,1,1,1,1,45%(5/11),10,2,4,0.10,1.04,1,0,46%,1,2,4,1,19%(3/16),21,0,0,0.31,0.31,4,7,2,0.30,,1,5,44%(8/18),2,84%(189/224),80%(69/86),,3,1,2,2,56%(5/9),8,5,10,0.38,0.30,3,2,77%,1,2,2,0,0%(0/1),25,0,1,0.73,0.89,2,5,1,0.10,,0,4,75%(18/24),1,92%(426/464),65%(31/48),,3,2,2,3,55%(6/11),10,6,10,1.04,0.10,0,1,54%,2,1,14,4,0%(0/4),19,0,0,0.24,0.34,7,4,2,0.38,,0,9,53%(9/17),1,89%(249/280),61%(11/18),,3,1,2,1,67%(6/9),3,4,9,0.30,0.38,2
Gl40fnvJ,argentina,26.03.2025 00:00,Football / South America / World Championship - Qualification - Round 14,Argentina,Brazil,4,1,no_slug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t6Of9coo,argentina,22.03.2025 20:30,Football / World / Friendly International,Argentina,Argentina U20,2,0,no_slug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dQE16hXD,argentina,21.03.2025 23:30,Football / South America / World Championship - Qualification - Round 13,Uruguay,Argentina,0,1,,0,56%,0,0,9,1,11%(1/9),17,0,0,0.10,0.02,4,5,1,0.02,,0,4,69%(20/29),0,88%(250/283),72%(49/68),,0,0,1,1,88%(7/8),9,1,4,0.05,0.02,,0,54%,0,3,10,3,40%(4/10),22,0,1,0.26,0.16,7,6,2,0.10,,0,8,56%(15/27),0,83%(196/237),67%(49/73),0,3,1,1,2,80%(4/5),7,5,10,0.01,1.10,2,0,44%,1,2,10,1,50%(1/2),17,0,0,0.17,0.16,5,4,1,0.05,,0,8,41%(7/17),0,86%(195/227),70%(31/44),,3,2,1,2,33%(3/9),7,5,10,0.02,0.05,,1,46%,0,1,14,2,20%(1/5),22,0,1,0.43,0.41,6,7,1,0.01,,0,8,26%(5/19),0,78%(159/205),65%(36/55),1,3,3,3,4,50%(3/6),9,7,8,1.10,0.01,1
UJMFrku7,argentina,20.11.2024 00:00,Football / South America / World Championship - Qualification - Round 12,Argentina,Peru,1,0,no_slug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G6cWjDXQ,argentina,14.11.2024 23:30,Football / South America / World Championship - Qualification - Round 11,Paraguay,Argentina,2,1,no_slug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EsDXVBe1,argentina,16.10.2024 00:00,Football / South America / World Championship - Qualification - Round 10,Argentina,Bolivia,6,0,no_slug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p40zfOsi,argentina,10.10.2024 21:00,Football / South America / World Championship - Qualification - Round 9,Venezuela,Argentina,1,1,no_slug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fa39uPSc,argentina,10.09.2024 20:30,Football / South America / World Championship - Qualification - Round 8,Colombia,Argentina,2,1,no_slug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QPb5t5Di,argentina,06.09.2024 00:00,Football / South America / World Championship - Qualification - Round 7,Argentina,Chile,3,0,no_slug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
