match_id,seleccion,fecha,competicion,equipo_local,equipo_visitante,goles_local,goles_visitante,error,local__1st_half__accurate_through_passes,local__1st_half__ball_possession,local__1st_half__big_chances,local__1st_half__blocked_shots,local__1st_half__clearances,local__1st_half__corner_kicks,local__1st_half__crosses,local__1st_half__duels_won,local__1st_half__errors_leading_to_goal,local__1st_half__errors_leading_to_shot,local__1st_half__expected_assists_xa,local__1st_half__expected_goals_xg,local__1st_half__fouls,local__1st_half__free_kicks,local__1st_half__goalkeeper_saves,local__1st_half__goals_prevented,local__1st_half__hit_the_woodwork,local__1st_half__interceptions,local__1st_half__long_passes,local__1st_half__offsides,local__1st_half__passes,local__1st_half__passes_in_final_third,local__1st_half__shots_inside_the_box,local__1st_half__shots_off_target,local__1st_half__shots_on_target,local__1st_half__shots_outside_the_box,local__1st_half__tackles,local__1st_half__throw_ins,local__1st_half__total_shots,local__1st_half__touches_in_opposition_box,local__1st_half__xg_on_target_xgot,local__1st_half__xgot_faced,local__1st_half__yellow_cards,local__2nd_half__accurate_through_passes,local__2nd_half__ball_possession,local__2nd_half__big_chances,local__2nd_half__blocked_shots,local__2nd_half__clearances,local__2nd_half__corner_kicks,local__2nd_half__crosses,local__2nd_half__duels_won,local__2nd_half__errors_leading_to_goal,local__2nd_half__errors_leading_to_shot,local__2nd_half__expected_assists_xa,local__2nd_half__expected_goals_xg,local__2nd_half__fouls,local__2nd_half__free_kicks,local__2nd_half__goalkeeper_saves,local__2nd_half__goals_prevented,local__2nd_half__headed_goals,local__2nd_half__hit_the_woodwork,local__2nd_half__interceptions,local__2nd_half__long_passes,local__2nd_half__offsides,local__2nd_half__passes,local__2nd_half__passes_in_final_third,local__2nd_half__shots_inside_the_box,local__2nd_half__shots_off_target,local__2nd_half__shots_on_target,local__2nd_half__shots_outside_the_box,local__2nd_half__tackles,local__2nd_half__throw_ins,local__2nd_half__total_shots,local__2nd_half__touches_in_opposition_box,local__2nd_half__xg_on_target_xgot,local__2nd_half__xgot_faced,local__2nd_half__yellow_cards,visitante__1st_half__accurate_through_passes,visitante__1st_half__ball_possession,visitante__1st_half__big_chances,visitante__1st_half__blocked_shots,visitante__1st_half__clearances,visitante__1st_half__corner_kicks,visitante__1st_half__crosses,visitante__1st_half__duels_won,visitante__1st_half__errors_leading_to_goal,visitante__1st_half__errors_leading_to_shot,visitante__1st_half__expected_assists_xa,visitante__1st_half__expected_goals_xg,visitante__1st_half__fouls,visitante__1st_half__free_kicks,visitante__1st_half__goalkeeper_saves,visitante__1st_half__goals_prevented,visitante__1st_half__hit_the_woodwork,visitante__1st_half__interceptions,visitante__1st_half__long_passes,visitante__1st_half__offsides,visitante__1st_half__passes,visitante__1st_half__passes_in_final_third,visitante__1st_half__shots_inside_the_box,visitante__1st_half__shots_off_target,visitante__1st_half__shots_on_target,visitante__1st_half__shots_outside_the_box,visitante__1st_half__tackles,visitante__1st_half__throw_ins,visitante__1st_half__total_shots,visitante__1st_half__touches_in_opposition_box,visitante__1st_half__xg_on_target_xgot,visitante__1st_half__xgot_faced,visitante__1st_half__yellow_cards,visitante__2nd_half__accurate_through_passes,visitante__2nd_half__ball_possession,visitante__2nd_half__big_chances,visitante__2nd_half__blocked_shots,visitante__2nd_half__clearances,visitante__2nd_half__corner_kicks,visitante__2nd_half__crosses,visitante__2nd_half__duels_won,visitante__2nd_half__errors_leading_to_goal,visitante__2nd_half__errors_leading_to_shot,visitante__2nd_half__expected_assists_xa,visitante__2nd_half__expected_goals_xg,visitante__2nd_half__fouls,visitante__2nd_half__free_kicks,visitante__2nd_half__goalkeeper_saves,visitante__2nd_half__goals_prevented,visitante__2nd_half__headed_goals,visitante__2nd_half__hit_the_woodwork,visitante__2nd_half__interceptions,visitante__2nd_half__long_passes,visitante__2nd_half__offsides,visitante__2nd_half__passes,visitante__2nd_half__passes_in_final_third,visitante__2nd_half__shots_inside_the_box,visitante__2nd_half__shots_off_target,visitante__2nd_half__shots_on_target,visitante__2nd_half__shots_outside_the_box,visitante__2nd_half__tackles,visitante__2nd_half__throw_ins,visitante__2nd_half__total_shots,visitante__2nd_half__touches_in_opposition_box,visitante__2nd_half__xg_on_target_xgot,visitante__2nd_half__xgot_faced,visitante__2nd_half__yellow_cards
0KmSaHsI,ghana,02.06.2026 18:45,Football / World / Friendly International,Wales,Ghana,1,1,,0,71%,1,4,5,1,20%(2/10),22,0,1,0.81,0.69,1,9,3,0.33,2,2,23%(3/13),0,90%(305/339),74%(48/65),5,2,2,3,50%(1/2),8,8,15,0.48,0.33,0,0,62%,4,2,8,4,35%(6/17),17,0,0,1.36,0.98,6,4,2,0.16,1,0,4,33%(4/12),0,91%(259/286),85%(86/101),8,7,1,2,67%(4/6),11,10,15,0.67,1.16,0,0,29%,1,1,14,3,0%(0/6),17,0,0,0.05,0.38,9,1,2,0.48,0,9,32%(8/25),2,80%(109/137),72%(18/25),2,3,2,4,20%(1/5),7,6,6,0.33,0.48,1,0,38%,3,0,21,1,50%(3/6),20,0,0,0.21,0.93,4,6,0,-0.33,0,1,3,44%(16/36),2,82%(151/185),57%(20/35),5,2,3,0,71%(5/7),9,5,7,1.16,0.67,1
EiTNwQjd,ghana,23.05.2026 02:00,Football / World / Friendly International,Mexico,Ghana,2,0,,0,61%,1,2,2,5,20%(2/10),16,0,0,0.31,0.87,10,5,0,0.00,1,5,76%(16/21),1,93%(267/288),80%(59/74),5,3,5,5,78%(7/9),9,10,17,1.58,0.00,0,0,58%,0,0,8,4,33%(3/9),16,0,0,0.45,0.63,8,4,3,0.21,,0,3,71%(12/17),1,92%(244/265),86%(36/42),6,3,3,0,86%(6/7),4,6,13,0.63,0.21,1,0,39%,0,0,15,1,0%(0/2),16,1,0,0.01,0.02,5,10,4,0.58,0,4,36%(5/14),1,89%(166/187),64%(7/11),1,1,0,0,67%(2/3),4,1,2,0.00,1.58,1,0,42%,0,1,6,2,67%(2/3),23,0,0,0.09,0.15,4,8,2,-0.37,,1,6,35%(7/20),0,87%(166/191),52%(17/33),3,2,3,3,71%(5/7),15,6,6,0.21,0.63,0
6waiW2Rj,ghana,30.03.2026 18:45,Football / World / Friendly International,Germany,Ghana,2,1,,0,67%,3,4,7,5,31%(4/13),19,0,1,1.37,1.77,4,4,0,0.00,1,2,29%(4/14),2,92%(324/354),86%(115/133),9,4,3,2,50%(4/8),14,11,33,1.37,0.00,0,0,71%,5,3,2,4,43%(3/7),16,0,1,1.53,1.13,4,6,0,-0.06,,1,2,69%(9/13),0,93%(318/343),86%(106/123),6,6,3,6,100%(3/3),10,12,27,0.88,0.94,1,0,33%,0,0,21,1,25%(1/4),21,0,0,0.11,0.01,4,4,2,0.37,0,8,48%(10/21),0,83%(146/176),60%(18/30),0,1,0,1,100%(10/10),5,1,4,0.00,1.37,1,0,29%,1,2,12,3,0%(0/3),19,0,0,0.57,0.55,6,4,2,-0.13,,1,4,43%(6/14),2,82%(113/138),67%(10/15),5,2,1,0,100%(4/4),4,5,8,0.94,0.88,2
djlHxWdU,ghana,27.03.2026 17:00,Football / World / Friendly International,Austria,Ghana,5,1,,0,60%,1,0,6,3,33%(4/12),24,0,0,0.36,0.87,9,5,0,0.00,0,1,69%(9/13),0,89%(227/256),73%(48/66),4,2,2,0,60%(6/10),6,4,9,1.07,0.00,0,1,59%,3,1,12,2,33%(2/6),18,0,0,0.81,1.68,8,1,0,-0.27,1,0,2,56%(5/9),0,85%(182/213),73%(38/52),6,1,5,1,44%(4/9),9,7,16,2.74,0.73,1,0,40%,0,1,13,1,25%(1/4),24,0,0,0.06,0.09,5,9,1,0.07,0,4,48%(12/25),1,79%(134/170),61%(17/28),2,1,0,0,60%(6/10),11,2,6,0.00,1.07,1,0,41%,0,0,15,2,0%(0/3),25,1,1,0.03,0.26,1,8,1,-1.26,0,0,6,43%(10/23),1,81%(120/149),54%(14/26),2,2,1,1,50%(4/8),5,3,5,0.73,2.74,1
ltH5hbvJ,ghana,18.11.2025 11:00,Football / World / Friendly International,South Korea,Ghana,1,0,,0,62%,0,0,3,3,20%(1/5),12,0,0,0.11,0.05,8,4,1,0.02,0,8,64%(16/25),0,87%(223/257),59%(20/34),1,0,1,0,50%(3/6),7,1,3,0.15,0.02,,0,52%,2,1,6,2,43%(3/7),21,0,0,0.61,1.18,3,8,0,0.00,1,1,7,36%(8/22),0,79%(155/196),76%(32/42),5,2,3,1,80%(4/5),3,6,13,1.44,0.00,1,0,38%,0,2,6,1,33%(1/3),18,0,0,0.03,0.07,4,8,1,0.15,0,6,35%(6/17),0,82%(131/160),52%(12/23),2,0,1,1,100%(3/3),7,3,3,0.02,0.15,,0,48%,0,2,10,2,17%(1/6),18,0,0,0.31,0.42,8,3,2,0.44,0,1,4,24%(4/17),2,82%(166/203),68%(27/40),6,7,0,3,80%(4/5),2,9,8,0.00,1.44,2
2ZRZBgCd,ghana,14.11.2025 10:20,Football / World / Friendly International,Japan,Ghana,2,0,,0,51%,1,1,6,2,14%(1/7),25,0,0,0.41,0.61,5,7,0,0.00,0,9,42%(5/12),0,84%(237/282),73%(54/74),4,2,2,1,38%(3/8),7,5,11,0.64,0.00,,0,52%,0,0,4,2,50%(2/4),26,0,0,0.38,0.39,9,6,2,0.12,,0,5,57%(4/7),1,90%(210/234),83%(39/47),5,6,3,4,64%(9/14),8,9,9,0.27,0.12,,0,49%,0,1,6,1,33%(1/3),17,0,0,0.19,0.22,7,5,1,-0.36,0,11,34%(13/38),0,83%(225/272),52%(13/25),2,2,0,1,75%(6/8),8,3,3,0.00,0.64,,0,48%,0,2,2,0,33%(1/3),19,0,0,0.11,0.14,6,9,2,-0.73,,0,9,41%(12/29),1,85%(187/220),73%(22/30),1,0,2,3,38%(3/8),12,4,2,0.12,0.27,
djCWN5u8,ghana,12.10.2025 19:00,Football / Africa / World Championship - Qualification - Round 10,Ghana,Comoros,1,0,,,61%,,,,3,,,,,,,6,3,,,,,,0,,,,0,1,,,7,1,,,,1,,47%,,,,2,,,,,,,9,3,,,,,,,1,,,,0,1,,,13,1,,,,1,,39%,,,,1,,,,,,,2,6,,,,,,1,,,,0,1,,,4,1,,,,0,,53%,,,,1,,,,,,,3,10,,,,,,,0,,,,3,0,,,5,3,,,,0
ERnnGgM1,ghana,08.10.2025 16:00,Football / Africa / World Championship - Qualification - Round 9,Central Africa,Ghana,0,5,,,37%,,,,0,,,,,,,4,6,,,,,,0,,,,0,0,,,8,0,,,,1,,35%,,,,2,,,,,,,6,6,,,,,,,0,,,,2,0,,,8,2,,,,1,,63%,,,,6,,,,,,,5,5,,,,,,1,,,,5,6,,,10,11,,,,0,,65%,,,,3,,,,,,,3,6,,,,,,,3,,,,2,5,,,7,7,,,,1
lp37NyUR,ghana,08.09.2025 19:00,Football / Africa / World Championship - Qualification - Round 8,Ghana,Mali,1,0,,,54%,,,,3,,,,,,,5,9,2,,,,,,,,,3,0,,,7,3,,,,1,,35%,,,,2,,,,,,,5,3,2,,,,,,,,,,1,2,,,5,3,,,,1,,46%,,,,0,,,,,,,9,5,0,,,,,,,,,1,2,,,12,3,,,,0,,65%,,,,2,,,,,,,3,5,1,,,,,,,,,,4,2,,,10,6,,,,0
GW4aPcaF,ghana,04.09.2025 13:00,Football / Africa / World Championship - Qualification - Round 7,Chad,Ghana,1,1,,,32%,,,,0,,,,,,,6,14,0,,,,,1,,,,3,0,,,9,3,,,,0,,38%,,,,0,,,,,,,2,6,1,,,,,,0,,,,3,2,,,11,5,,,,1,,68%,,,,2,,,,,,,13,7,0,,,,,1,,,,2,1,,,6,3,,,,1,,62%,,,,5,,,,,,,3,2,1,,,,,,3,,,,2,1,,,10,3,,,,0
z3Qdm6uh,ghana,31.05.2025 11:30,Football / World / Friendly International,Ghana,Trinidad & Tobago,4,0,no_slug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UDNHY6YO,ghana,28.05.2025 18:45,Football / World / Friendly International,Nigeria,Ghana,2,1,no_slug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hbJ43Gxd,ghana,24.03.2025 19:00,Football / Africa / World Championship - Qualification - Round 6,Madagascar,Ghana,0,3,,,48%,,,,1,,,,,,,7,11,1,,,,,0,,,,4,1,,,8,5,,,,1,,46%,,,,1,,,,,,,12,9,1,,,,,,0,,,,1,1,,,13,2,,,,1,,52%,,,,1,,,,,,,11,8,1,,,,,1,,,,1,2,,,15,3,,,,1,,54%,,,,3,,,,,,,6,12,1,,,,,,2,,,,1,3,,,11,4,,,,0
EkTU9IaS,ghana,21.03.2025 19:00,Football / Africa / World Championship - Qualification - Round 5,Ghana,Chad,5,0,,,74%,,,,3,,,,,,,4,8,0,,,,,2,,,,3,3,,,8,6,,,,0,,66%,,,,1,,,,,,,0,8,0,,,,,,0,,,,2,2,,,6,4,,,,0,,26%,,,,1,,,,,,,7,6,0,,,,,1,,,,0,0,,,4,0,,,,2,,34%,,,,3,,,,,,,0,6,0,,,,,,0,,,,1,0,,,8,1,,,,1
lOyK4hyq,ghana,28.12.2024 16:00,Football / Africa / African Nations Championship - Qualification - Final,Nigeria,Ghana,3,1,no_slug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63YfAEDL,ghana,22.12.2024 16:00,Football / Africa / African Nations Championship - Qualification - Final,Ghana,Nigeria,0,0,no_slug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0nNMPIgU,ghana,11.12.2024 16:00,Football / World / Friendly International,Togo,Ghana,0,2,no_slug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4CZuKwZq,ghana,18.11.2024 16:00,Football / Africa / Africa Cup of Nations - Qualification - Round 6,Ghana,Niger,1,2,,,60%,,1,,2,,,,,,,5,,1,,,10,,2,84%(209/248),,,3,1,,,,5,,,,,,56%,,1,,4,,,,,,,8,,2,,,,6,,2,78%(150/192),,,4,2,,,,7,,,,2,,40%,,1,,2,,,,,,,11,,1,,,1,,3,75%(135/181),,,2,2,,,,5,,,,,,44%,,1,,3,,,,,,,15,,1,,,,5,,1,82%(120/146),,,2,3,,,,6,,,,1
pSh9PaBM,ghana,15.11.2024 19:00,Football / Africa / Africa Cup of Nations - Qualification - Round 5,Angola,Ghana,1,1,,,60%,,1,,5,,,,,,,14,,0,,,2,,1,81%(200/248),,,1,2,,,,4,,,,1,,80%,,3,,1,,,,,,,3,,0,,,,7,,0,90%(295/326),,,4,2,,,,9,,,,1,,40%,,1,,0,,,,,,,7,,2,,,7,,0,72%(110/152),,,1,1,,,,3,,,,1,,20%,,3,,0,,,,,,,10,,1,,,,11,,0,64%(77/121),,,2,0,,,,5,,,,2
xd6hTsCc,ghana,15.10.2024 13:00,Football / Africa / Africa Cup of Nations - Qualification - Round 4,Sudan,Ghana,2,0,,,41%,,1,,0,,,,,,,5,,0,,,7,,1,70%(97/138),,,2,2,,,,5,,,,1,,41%,,0,,0,,,,,,,9,,1,,,,6,,1,67%(96/144),,,3,3,,,,6,,,,2,,59%,,1,,1,,,,,,,10,,2,,,4,,1,82%(160/195),,,3,0,,,,4,,,,2,,59%,,0,,3,,,,,,,7,,1,,,,4,,1,76%(120/158),,,2,1,,,,3,,,,2
