match_id,seleccion,fecha,competicion,equipo_local,equipo_visitante,goles_local,goles_visitante,error,error_2nd Half,local__1st_half__accurate_through_passes,local__1st_half__ball_possession,local__1st_half__big_chances,local__1st_half__blocked_shots,local__1st_half__clearances,local__1st_half__corner_kicks,local__1st_half__crosses,local__1st_half__duels_won,local__1st_half__errors_leading_to_goal,local__1st_half__errors_leading_to_shot,local__1st_half__expected_assists_xa,local__1st_half__expected_goals_xg,local__1st_half__fouls,local__1st_half__free_kicks,local__1st_half__goalkeeper_saves,local__1st_half__goals_prevented,local__1st_half__headed_goals,local__1st_half__hit_the_woodwork,local__1st_half__interceptions,local__1st_half__long_passes,local__1st_half__offsides,local__1st_half__passes,local__1st_half__passes_in_final_third,local__1st_half__shots_inside_the_box,local__1st_half__shots_off_target,local__1st_half__shots_on_target,local__1st_half__shots_outside_the_box,local__1st_half__tackles,local__1st_half__throw_ins,local__1st_half__total_shots,local__1st_half__touches_in_opposition_box,local__1st_half__xg_on_target_xgot,local__1st_half__xgot_faced,local__1st_half__yellow_cards,local__2nd_half__accurate_through_passes,local__2nd_half__ball_possession,local__2nd_half__big_chances,local__2nd_half__blocked_shots,local__2nd_half__clearances,local__2nd_half__corner_kicks,local__2nd_half__crosses,local__2nd_half__duels_won,local__2nd_half__errors_leading_to_goal,local__2nd_half__errors_leading_to_shot,local__2nd_half__expected_assists_xa,local__2nd_half__expected_goals_xg,local__2nd_half__fouls,local__2nd_half__free_kicks,local__2nd_half__goalkeeper_saves,local__2nd_half__goals_prevented,local__2nd_half__headed_goals,local__2nd_half__hit_the_woodwork,local__2nd_half__interceptions,local__2nd_half__long_passes,local__2nd_half__offsides,local__2nd_half__passes,local__2nd_half__passes_in_final_third,local__2nd_half__red_cards,local__2nd_half__shots_inside_the_box,local__2nd_half__shots_off_target,local__2nd_half__shots_on_target,local__2nd_half__shots_outside_the_box,local__2nd_half__tackles,local__2nd_half__throw_ins,local__2nd_half__total_shots,local__2nd_half__touches_in_opposition_box,local__2nd_half__xg_on_target_xgot,local__2nd_half__xgot_faced,local__2nd_half__yellow_cards,visitante__1st_half__accurate_through_passes,visitante__1st_half__ball_possession,visitante__1st_half__big_chances,visitante__1st_half__blocked_shots,visitante__1st_half__clearances,visitante__1st_half__corner_kicks,visitante__1st_half__crosses,visitante__1st_half__duels_won,visitante__1st_half__errors_leading_to_goal,visitante__1st_half__errors_leading_to_shot,visitante__1st_half__expected_assists_xa,visitante__1st_half__expected_goals_xg,visitante__1st_half__fouls,visitante__1st_half__free_kicks,visitante__1st_half__goalkeeper_saves,visitante__1st_half__goals_prevented,visitante__1st_half__headed_goals,visitante__1st_half__hit_the_woodwork,visitante__1st_half__interceptions,visitante__1st_half__long_passes,visitante__1st_half__offsides,visitante__1st_half__passes,visitante__1st_half__passes_in_final_third,visitante__1st_half__shots_inside_the_box,visitante__1st_half__shots_off_target,visitante__1st_half__shots_on_target,visitante__1st_half__shots_outside_the_box,visitante__1st_half__tackles,visitante__1st_half__throw_ins,visitante__1st_half__total_shots,visitante__1st_half__touches_in_opposition_box,visitante__1st_half__xg_on_target_xgot,visitante__1st_half__xgot_faced,visitante__1st_half__yellow_cards,visitante__2nd_half__accurate_through_passes,visitante__2nd_half__ball_possession,visitante__2nd_half__big_chances,visitante__2nd_half__blocked_shots,visitante__2nd_half__clearances,visitante__2nd_half__corner_kicks,visitante__2nd_half__crosses,visitante__2nd_half__duels_won,visitante__2nd_half__errors_leading_to_goal,visitante__2nd_half__errors_leading_to_shot,visitante__2nd_half__expected_assists_xa,visitante__2nd_half__expected_goals_xg,visitante__2nd_half__fouls,visitante__2nd_half__free_kicks,visitante__2nd_half__goalkeeper_saves,visitante__2nd_half__goals_prevented,visitante__2nd_half__headed_goals,visitante__2nd_half__hit_the_woodwork,visitante__2nd_half__interceptions,visitante__2nd_half__long_passes,visitante__2nd_half__offsides,visitante__2nd_half__passes,visitante__2nd_half__passes_in_final_third,visitante__2nd_half__red_cards,visitante__2nd_half__shots_inside_the_box,visitante__2nd_half__shots_off_target,visitante__2nd_half__shots_on_target,visitante__2nd_half__shots_outside_the_box,visitante__2nd_half__tackles,visitante__2nd_half__throw_ins,visitante__2nd_half__total_shots,visitante__2nd_half__touches_in_opposition_box,visitante__2nd_half__xg_on_target_xgot,visitante__2nd_half__xgot_faced,visitante__2nd_half__yellow_cards
OAt8UvFb,marruecos,07.06.2026 19:00,Football / World / Friendly International,Morocco,Norway,1,1,,,1,46%,2,2,14,1,40%(2/5),23,0,1,0.91,0.81,0,7,1,0.15,,0,5,67%(12/18),1,91%(199/218),84%(38/45),5,3,4,4,80%(8/10),4,9,10,0.34,0.15,0,0,46%,1,0,11,2,25%(1/4),15,0,0,0.17,0.48,6,5,0,-0.65,,0,5,40%(8/20),0,86%(137/160),78%(21/27),,2,3,1,2,63%(5/8),9,4,5,0.14,0.35,1,0,54%,0,1,8,6,31%(4/13),11,0,0,0.41,0.36,7,0,3,-0.66,,0,2,41%(7/17),0,91%(219/241),77%(50/65),4,2,1,0,63%(5/8),8,4,10,0.15,0.34,1,0,54%,2,3,2,5,9%(1/11),21,0,0,0.30,0.44,5,6,1,0.14,,0,2,63%(10/16),1,87%(157/181),78%(47/60),,3,1,1,2,58%(7/12),7,5,17,0.35,0.14,0
zBwKGlDj,marruecos,02.06.2026 17:00,Football / World / Friendly International,Morocco,Madagascar,4,0,,,1,65%,5,5,5,6,21%(3/14),28,0,0,1.21,1.82,4,6,0,0.00,1,1,4,87%(13/15),2,94%(320/340),86%(109/127),10,5,5,5,78%(7/9),5,15,33,2.17,0.00,0,1,75%,3,1,5,6,7%(1/14),24,0,0,0.64,1.78,8,6,1,0.20,,1,4,100%(9/9),2,93%(360/386),87%(135/155),0,4,0,4,1,82%(9/11),8,5,28,2.65,0.20,2,0,35%,0,0,12,0,0%(0/4),18,1,0,0.04,0.00,6,4,3,0.17,0,0,5,56%(9/16),0,88%(167/189),71%(20/28),0,0,0,0,43%(6/14),5,0,0,0.00,2.17,2,0,25%,1,1,14,1,0%(0/1),23,0,0,0.04,0.25,6,8,2,0.65,,0,9,31%(4/13),0,77%(99/128),60%(9/15),1,1,0,1,1,63%(5/8),4,2,1,0.20,2.65,0
rHzS9t06,marruecos,26.05.2026 11:00,Football / World / Friendly International,Morocco,Burundi,5,0,no_slug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nRARC4sB,marruecos,31.03.2026 18:00,Football / World / Friendly International,Morocco,Paraguay,2,1,,"Locator.click: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""[dat",0,62%,2,0,20,1,20%(2/10),37,0,1,0.56,1.11,8,11,6,0.47,0,0,10,46%(23/50),1,88%(517/587),73%(90/124),5,2,4,1,60%(9/15),14,6,11,2.54,1.47,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,38%,2,1,17,3,43%(6/14),46,0,0,0.66,0.91,11,8,2,0.54,1,0,6,61%(22/36),3,81%(283/350),70%(58/83),8,3,7,3,75%(12/16),22,11,20,1.47,2.54,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v17JEQCb,marruecos,27.03.2026 20:15,Football / World / Friendly International,Morocco,Ecuador,1,1,,,1,52%,0,2,7,0,0%(0/2),23,0,2,0.46,0.31,7,11,1,0.05,,0,3,35%(6/17),0,89%(231/261),88%(35/40),3,4,0,3,100%(8/8),5,6,4,0.00,0.05,,0,55%,2,3,20,2,14%(1/7),29,0,0,0.25,1.06,8,6,0,-0.46,1,0,4,55%(6/11),3,89%(181/203),74%(35/47),,3,0,3,3,71%(5/7),6,6,13,1.50,0.54,1,0,48%,1,1,7,1,50%(2/4),21,0,1,0.29,0.36,11,7,0,0.00,,0,5,57%(13/23),1,89%(213/240),71%(29/41),3,4,1,3,67%(6/9),7,6,7,0.05,0.00,,0,45%,0,0,7,0,25%(1/4),21,0,0,0.23,0.13,6,8,2,0.50,0,0,2,21%(6/29),0,77%(127/166),55%(18/33),,2,1,1,0,20%(2/10),6,2,11,0.54,1.50,0
0KhPZfnQ,marruecos,18.01.2026 19:00,Football / Africa / Africa Cup of Nations - Play Offs - Final,Senegal,Morocco,0,3,,,0,51%,2,1,8,4,33%(2/6),23,0,0,0.20,0.55,7,6,0,0.00,,0,1,45%(10/22),0,87%(192/220),63%(22/35),3,1,2,1,60%(6/10),7,4,5,0.86,0.00,1,0,61%,0,1,9,2,29%(2/7),24,0,1,0.17,0.16,9,3,2,0.91,,0,2,60%(12/20),0,84%(142/169),63%(22/35),,4,1,2,0,0%(0/1),10,4,10,0.53,0.91,3,0,49%,0,2,6,2,14%(1/7),24,0,0,0.13,0.15,6,7,2,0.86,,0,2,47%(7/15),1,88%(182/208),77%(47/61),2,1,0,1,54%(7/13),10,3,9,0.00,0.86,0,0,39%,2,4,15,6,38%(5/13),22,0,0,0.40,1.36,3,9,2,0.53,,0,3,41%(9/22),0,78%(77/99),45%(10/22),,7,3,2,2,50%(4/8),3,9,12,0.91,0.53,1
UVdpa0W1,marruecos,14.01.2026 20:00,Football / Africa / Africa Cup of Nations - Play Offs - Semi-finals,Nigeria,Morocco,0,0,,,0,46%,0,0,13,0,0%(0/3),25,0,1,0.10,0.06,13,9,1,0.43,,0,5,48%(12/25),0,81%(141/175),51%(19/37),0,0,1,1,75%(6/8),9,1,3,0.10,0.43,1,0,56%,0,0,18,0,20%(1/5),23,0,0,0.19,0.02,12,8,2,0.35,,0,5,42%(11/26),0,84%(208/248),60%(29/48),,0,1,0,1,50%(4/8),9,1,2,0.00,0.35,1,0,54%,1,1,7,2,38%(3/8),31,0,0,0.67,0.38,9,13,1,0.10,,0,2,58%(19/33),0,80%(160/199),71%(45/63),4,4,1,2,54%(7/13),17,6,7,0.43,0.10,0,0,44%,0,1,8,2,8%(1/12),24,0,0,0.20,0.28,8,12,0,0.00,,0,4,41%(12/29),0,84%(162/192),70%(32/46),,2,2,2,3,100%(5/5),14,5,8,0.35,0.00,0
dS1gM5th,marruecos,09.01.2026 19:00,Football / Africa / Africa Cup of Nations - Play Offs - Quarter-finals,Cameroon,Morocco,0,2,,,0,43%,0,0,12,0,20%(1/5),27,0,0,0.06,0.05,11,8,0,-0.01,,0,2,31%(11/35),0,67%(84/125),27%(6/22),2,2,0,0,71%(5/7),13,2,3,0.00,0.99,2,0,75%,1,2,7,4,21%(3/14),32,0,0,0.50,0.41,8,16,1,0.38,,0,3,58%(15/26),0,84%(183/217),64%(41/64),,3,1,0,0,67%(4/6),14,3,9,0.00,1.38,0,0,57%,1,2,14,6,21%(3/14),31,0,0,0.18,0.88,8,11,0,0.00,,0,2,41%(9/22),0,78%(120/154),64%(39/61),5,2,1,0,71%(5/7),6,5,11,0.99,0.00,0,0,25%,0,1,21,1,50%(2/4),30,0,0,0.14,0.55,16,8,0,0.00,,0,1,23%(6/26),1,53%(38/72),35%(8/23),,3,1,2,1,82%(9/11),3,4,5,1.38,0.00,2
pKzviD4m,marruecos,04.01.2026 16:00,Football / Africa / Africa Cup of Nations - Play Offs - 1/8-finals,Morocco,Tanzania,1,0,,,0,72%,3,1,7,2,33%(4/12),37,0,0,0.62,0.54,6,10,0,0.00,1,0,1,67%(16/24),1,89%(306/344),76%(78/103),3,4,0,2,57%(8/14),13,5,17,0.00,0.00,0,0,70%,1,1,6,2,23%(3/13),26,0,0,0.49,0.47,6,9,1,0.06,,1,3,63%(19/30),1,86%(224/259),80%(67/84),,4,2,4,3,33%(2/6),7,7,10,0.50,0.06,1,0,28%,1,1,20,0,0%(0/1),23,0,0,0.49,0.44,10,6,0,0.00,0,0,5,33%(10/30),1,80%(108/135),65%(15/23),1,1,0,1,67%(6/9),7,2,3,0.00,0.00,2,0,30%,1,0,10,0,0%(0/3),22,0,0,0.01,0.29,9,6,3,-0.50,,0,3,18%(4/22),0,70%(79/113),25%(4/16),,1,1,1,1,38%(3/8),8,2,3,0.06,0.50,3
C24N2HEt,marruecos,29.12.2025 19:00,Football / Africa / Africa Cup of Nations - Round 3,Zambia,Morocco,0,3,,,0,31%,0,0,19,0,,26,0,3,0.03,0.03,12,4,3,0.39,0,0,8,44%(11/25),2,78%(111/143),10%(1/10),1,1,0,0,38%(6/16),8,1,1,0.00,2.39,2,0,58%,0,1,10,1,14%(1/7),19,0,1,0.65,0.21,11,8,3,0.37,,0,2,45%(10/22),0,89%(185/209),72%(28/39),1,1,3,0,3,67%(2/3),7,4,5,0.00,1.37,2,0,69%,3,2,5,2,,33,0,0,1.17,0.99,4,12,0,0.00,1,0,2,58%(14/24),1,91%(279/308),83%(87/105),9,4,5,2,89%(8/9),18,11,23,2.39,0.00,0,0,42%,2,1,9,3,67%(2/3),24,0,0,0.58,0.98,8,11,0,0.00,,0,5,67%(8/12),3,88%(138/157),70%(21/30),0,4,3,4,4,100%(6/6),6,8,10,1.37,0.00,1
2y9CpzaC,marruecos,26.12.2025 20:00,Football / Africa / Africa Cup of Nations - Round 2,Morocco,Mali,1,1,,,0,63%,3,1,6,1,33%(3/9),24,0,0,0.37,2.16,10,12,0,0.00,,0,6,36%(8/22),1,87%(239/274),78%(60/77),7,5,2,1,100%(4/4),12,8,12,0.95,0.00,0,1,60%,2,3,3,5,,33,0,0,0.56,0.66,5,10,0,-0.26,,0,5,50%(9/18),1,82%(159/194),63%(37/59),,4,2,2,3,58%(7/12),16,7,22,0.31,0.74,1,0,37%,0,2,12,0,100%(1/1),33,0,0,0.07,0.09,12,10,1,-0.05,,0,7,38%(10/26),0,72%(119/165),50%(23/46),1,1,0,2,83%(10/12),8,3,1,0.00,0.95,2,0,40%,1,1,25,0,,33,0,1,0.05,0.82,10,5,3,0.31,,0,6,40%(8/20),2,76%(102/134),56%(9/16),,2,0,1,0,56%(9/16),8,2,8,0.74,0.31,6
YeHelIam,marruecos,21.12.2025 19:00,Football / Africa / Africa Cup of Nations - Round 1,Morocco,Comoros,2,0,,,0,79%,1,4,1,2,,21,0,0,0.42,0.95,10,12,1,0.28,,0,2,47%(9/19),0,91%(334/366),87%(127/146),4,2,1,3,33%(1/3),7,7,20,0.64,0.28,1,0,60%,2,1,6,3,21%(3/14),23,0,0,0.85,0.98,9,8,1,0.14,,0,4,50%(8/16),2,88%(248/282),82%(78/95),,7,2,6,2,78%(7/9),8,9,20,2.06,0.14,2,0,21%,0,0,20,0,,29,0,0,0.00,0.04,12,10,1,0.64,,0,4,13%(2/15),2,65%(64/99),8%(1/12),0,0,1,1,29%(2/7),2,1,0,0.28,0.64,1,0,40%,2,0,14,0,0%(0/4),24,1,0,0.06,0.27,8,9,4,0.06,,0,8,37%(7/19),2,82%(153/186),48%(11/23),,2,2,1,1,78%(7/9),12,3,2,0.14,2.06,0
zqATDN3K,marruecos,18.12.2025 16:00,Football / World / FIFA Arab Cup - Play Offs - Final,Jordan,Morocco,2,3,,,0,43%,0,1,18,0,13%(1/8),17,0,1,0.08,0.02,5,5,1,-0.57,,0,6,18%(4/22),0,80%(171/213),50%(24/48),1,0,1,1,50%(3/6),12,2,3,0.02,0.43,,0,37%,3,2,15,1,25%(1/4),21,0,0,0.40,1.62,9,3,1,0.54,1,0,4,28%(9/32),0,70%(100/142),52%(23/44),,4,2,3,3,50%(4/8),10,7,6,1.79,1.54,1,0,57%,0,1,15,5,0%(0/11),25,0,0,0.10,0.33,5,5,1,0.02,,0,9,54%(15/28),1,86%(241/281),72%(39/54),3,1,3,2,44%(4/9),7,5,8,0.43,0.02,,0,63%,2,2,9,2,55%(6/11),30,0,0,0.45,1.96,3,9,1,-0.21,0,2,2,70%(16/23),2,84%(201/239),74%(50/68),,6,6,2,4,60%(3/5),11,10,17,1.54,1.79,1
rqtYu9nT,marruecos,15.12.2025 14:30,Football / World / FIFA Arab Cup - Play Offs - Semi-finals,Morocco,United Arab Emirates,3,0,,,0,58%,0,1,6,3,33%(4/12),18,0,0,0.62,0.33,5,6,1,0.13,1,0,6,39%(7/18),3,87%(214/245),80%(41/51),3,1,4,3,0%(0/1),11,6,14,0.43,0.13,1,0,40%,2,0,18,0,33%(1/3),22,0,0,0.34,0.47,3,4,1,0.65,,0,4,34%(11/32),2,76%(128/169),53%(17/32),,3,1,2,0,63%(5/8),9,3,5,1.31,0.65,2,1,42%,0,0,12,3,0%(0/6),22,0,0,0.36,0.28,6,5,3,-0.57,0,0,3,32%(6/19),1,82%(148/180),72%(28/39),1,3,1,3,88%(7/8),3,4,5,0.13,0.43,0,0,60%,0,3,8,3,28%(5/18),28,0,0,0.54,0.44,4,3,0,-0.69,,1,4,53%(9/17),1,87%(213/245),74%(57/77),,6,4,1,2,67%(6/9),11,8,12,0.65,1.31,0
2Hb9qmN8,marruecos,11.12.2025 14:30,Football / World / FIFA Arab Cup - Play Offs - Quarter-finals,Morocco,Syria,1,0,,,0,59%,1,0,10,4,48%(10/21),23,0,0,0.89,0.49,6,1,1,0.04,,0,1,72%(18/25),0,87%(179/205),85%(56/66),7,6,2,1,67%(4/6),10,8,25,0.50,0.04,1,0,58%,2,3,12,4,36%(8/22),30,0,0,0.94,1.81,7,3,0,0.00,,0,2,71%(12/17),1,89%(232/260),85%(96/113),1,7,4,6,6,44%(7/16),13,13,26,1.82,0.00,1,0,41%,0,0,16,2,25%(1/4),25,0,0,0.10,0.10,1,6,2,0.50,,0,2,33%(8/24),0,79%(119/150),72%(21/29),1,2,1,2,86%(6/7),14,3,3,0.04,0.50,0,0,42%,0,3,19,0,0%(0/3),35,0,0,0.12,0.16,3,7,5,0.82,,0,6,30%(7/23),0,77%(151/196),46%(17/37),0,1,0,0,2,52%(11/21),5,3,4,0.00,1.82,2
2RauuHtH,marruecos,08.12.2025 17:00,Football / World / FIFA Arab Cup - Round 3,Morocco,Saudi Arabia,1,0,,,0,39%,1,0,19,1,0%(0/2),21,0,0,0.36,0.30,7,2,0,0.00,,0,5,53%(9/17),1,78%(124/158),47%(9/19),1,0,1,0,71%(5/7),16,1,3,0.40,0.00,1,0,40%,1,0,32,2,33%(3/9),31,0,1,0.76,0.32,3,3,1,0.10,,0,7,35%(11/31),0,69%(101/146),61%(25/41),,2,1,2,1,30%(3/10),14,3,9,0.20,0.10,,1,61%,1,0,5,2,0%(0/8),29,1,0,0.41,0.18,2,7,0,-0.60,,1,7,44%(14/32),0,85%(203/240),68%(45/66),1,2,0,1,83%(10/12),14,2,4,0.00,0.40,0,0,60%,3,1,8,3,21%(3/14),20,0,0,0.80,1.95,3,3,2,0.20,,0,12,52%(12/23),0,83%(178/215),73%(51/70),,6,8,1,4,57%(4/7),10,10,19,0.10,0.20,
fk6fEZsJ,marruecos,05.12.2025 14:30,Football / World / FIFA Arab Cup - Round 2,Oman,Morocco,0,0,,,0,35%,0,0,25,0,,21,0,1,0.04,0.02,5,7,2,1.09,,0,5,17%(3/18),0,74%(112/151),67%(20/30),0,1,0,1,38%(3/8),6,1,2,0.00,1.09,0,0,63%,0,1,13,2,0%(0/9),24,0,0,0.08,0.14,3,5,0,0.00,,0,4,38%(8/21),0,81%(178/221),65%(43/66),0,0,4,1,6,75%(3/4),14,6,6,0.06,0.00,,0,65%,0,2,7,6,,31,0,0,0.57,0.85,7,5,0,0.00,,0,5,68%(26/38),1,83%(217/260),66%(50/76),5,4,2,3,29%(2/7),13,8,10,1.09,0.00,1,1,37%,0,0,18,4,10%(1/10),32,0,0,0.11,0.36,5,3,1,0.06,,0,7,52%(17/33),0,69%(85/124),55%(18/33),1,2,2,0,0,73%(8/11),13,2,5,0.00,0.06,
n14Dz6Al,marruecos,02.12.2025 12:00,Football / World / FIFA Arab Cup - Round 1,Morocco,Comoros,3,1,,,1,55%,3,1,9,3,42%(5/12),19,0,0,0.54,0.46,3,5,0,0.00,2,0,4,50%(11/22),1,85%(222/261),63%(42/67),5,1,3,0,83%(5/6),11,5,11,1.93,0.00,0,4,42%,2,3,24,1,100%(2/2),23,0,1,0.73,0.71,7,3,3,0.13,,0,3,45%(10/22),2,80%(156/194),76%(22/29),,6,3,2,2,50%(4/8),6,8,16,0.06,0.13,,0,45%,0,1,11,2,0%(0/5),15,0,0,0.15,0.09,5,3,0,-1.07,0,0,5,46%(13/28),1,85%(186/219),70%(23/33),0,1,0,2,80%(4/5),5,2,5,0.00,1.93,1,0,58%,1,3,3,5,13%(1/8),16,0,0,0.18,0.35,3,7,1,0.06,,0,9,58%(15/26),0,82%(213/261),67%(52/78),,4,3,3,5,50%(1/2),9,9,11,0.13,0.06,
hYNoLydM,marruecos,18.11.2025 19:00,Football / World / Friendly International,Morocco,Uganda,4,0,,,2,70%,4,0,3,2,,19,0,0,1.47,1.79,4,6,1,0.01,,0,6,84%(27/32),0,89%(331/371),81%(110/136),9,5,6,2,88%(7/8),12,11,19,1.63,0.01,0,0,52%,3,3,2,3,38%(3/8),20,0,0,0.70,1.93,9,4,0,0.00,,0,6,82%(18/22),1,86%(171/198),75%(40/53),,10,4,5,2,89%(8/9),3,12,29,2.27,0.00,,0,30%,0,0,6,0,,19,0,0,0.02,0.05,6,4,5,0.63,,0,5,48%(11/23),2,77%(123/159),24%(4/17),1,1,1,1,46%(6/13),8,2,5,0.01,1.63,2,0,48%,0,0,8,0,0%(0/1),24,0,0,0.33,0.00,4,9,3,0.27,,0,4,42%(14/33),2,81%(155/191),59%(16/27),,0,0,0,0,71%(5/7),5,0,2,0.00,2.27,
OEubUkQq,marruecos,14.11.2025 19:00,Football / World / Friendly International,Morocco,Mozambique,1,0,,,1,64%,1,1,1,6,,15,0,0,1.31,0.50,9,5,0,0.00,,0,2,78%(14/18),0,92%(282/308),79%(66/84),7,5,3,2,63%(5/8),9,9,20,0.47,0.00,,0,68%,1,4,6,4,29%(4/14),20,0,0,0.58,1.04,7,4,0,0.00,,1,4,73%(24/33),0,90%(250/278),76%(67/88),,7,3,2,2,86%(6/7),6,9,19,0.39,0.00,,0,36%,0,1,15,1,,23,0,0,0.03,0.05,5,9,2,-0.53,,0,6,73%(8/11),1,90%(161/178),90%(9/10),1,1,0,1,63%(5/8),8,2,2,0.00,0.47,,0,32%,1,0,18,0,50%(1/2),20,0,0,0.16,0.31,4,7,2,0.39,,0,2,31%(8/26),0,70%(93/132),27%(3/11),,1,1,0,0,0%(0/1),12,1,1,0.00,0.39,
